I brought ... and gave ... where ... 	... whom the king ... 
x talents, Sam'al;	Witness Saklu.
they along with ... and along with their oxen ... , which ... , at the disposal of NN, governor of Parsua.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The singer places a seah measure of corn on the ... between the magnates, and finishes his singing. The people are removed. The king enters the bedroom. 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Should the king do thus, the king could also say: "I have made the land great again and have built a powerful fortress on the border of the lands." I have written to the king because I am desperate! The king should not hesitate, for we are now at our limits, and your servants and the land of Akkad threaten to slide out of your hand. The message is due to distressful danger. Now ... Imra... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
My messenger, who was delayed and did not come to the audience of the king, brought my report back. I decided not to write to the king, my lord, but waited for instructions until the barley was deposited in Bab-bitqa. Thereafter I wrote to the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
to Tīl-ša-Abatāni; from Tīl-ša-Abatāni to Tīl-ša-Zabdāni; the cities Ḫirimu (and) Ḫarutu, (which are) fortresses of Karduniaš (Babylonia); in the lands and highlands over which I gained dominion I always appointed my governors; I received their tribute (and) they entered (lit. “performed”) servitude.	I have now written down the labour duty which Hau carries for these towns, and I am herewith sending it to the king, my lord. What are the king my lord's orders?
not to harm ... 	Witness ... 
I made foundation inscriptions, had the might of the god Aššur, my lord, (and) the deeds that I had done written on them, and placed (these inscriptions) in them (the foundations).	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
an estate of 1 hectare and 1 decare of land in Potter Town, ... of a house —	... ditto, ditto, the front red, of the port; 4 ... ;
I became clean with him ... 	Witness Ubru-Issar, servant of ... 
They shall pay in Elul (VI). If they do not, the silver shall increase 50 percent per mina.	The king will be shut up in his palace; ... and good for the king my lord.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
As to the carpenters about whom the king my lord wrote to me: "30 ... !" 22 carpenters ... ; half of them have not yet come. Five architects of the governor of Calah have  come to me on the ... th of ... ; none of them is working ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
As to what the king, my lord, wrote me: "Organize your army and be on the alert! If feasible, take the road to Hirite by ... " —	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
How can I love by loving Elam? I do not contest my friend or my enemy. I do good to everybody, but they have done evil to me.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... the logs	... we captured
... seize?	... we captured
... If he does not like what I said, (viz.) "Why does not a single ... ?", and keeps sending words of death ... , if it is agreeable to the king, let me move back to the house of my lord! And ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... while engaged in ... or shaving,	... we arrived
it stands ... 	Witness ... 
