I brought ... and gave ... where ... 	... and shall send ... 
x talents, Sam'al;	1 talent, NN ... ,
they along with ... and along with their oxen ... , which ... , at the disposal of NN, governor of Parsua.	total, x+13 persons, ditto, at the disposal of ... -ahi, the governor ... nuluzi.
The singer places a seah measure of corn on the ... between the magnates, and finishes his singing. The people are removed. The king enters the bedroom. 	The priest takes the whip of the other one and raises it thrice before the God. The sarrānus raise their hands.
My messenger, who was delayed and did not come to the audience of the king, brought my report back. I decided not to write to the king, my lord, but waited for instructions until the barley was deposited in Bab-bitqa. Thereafter I wrote to the king, my lord.	To the mother of the king, my lord, your servant: NN. Good health to the mother of the king, my lord. May Sin, Nikkal, Nusku, Šamaš, Aya, DN, and DN bless the king and the mother of the king, my lord.
to Tīl-ša-Abatāni; from Tīl-ša-Abatāni to Tīl-ša-Zabdāni; the cities Ḫirimu (and) Ḫarutu, (which are) fortresses of Karduniaš (Babylonia); in the lands and highlands over which I gained dominion I always appointed my governors; I received their tribute (and) they entered (lit. “performed”) servitude.	from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the city Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni, the cities Ḫirimu, Ḫarutu, (which are) fortresses of Karduniaš (Babylonia). I accounted (the people) from the passes of Mount Babitu to Mount (“the city”) Ḫašmar as people of my land. In the lands over which I gained dominion I always appointed my governors. They entered (lit. “performed') servitude (and) I imposed upon them corvée.
not to harm ... 	1 ... -garment ... ,
I made foundation inscriptions, had the might of the god Aššur, my lord, (and) the deeds that I had done written on them, and placed (these inscriptions) in them (the foundations).	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
an estate of 1 hectare and 1 decare of land in Potter Town, ... of a house —	An estate of x hectares of field according to the seah of 10 'litres' ... 
I became clean with him ... 	of the campaign ... 
They shall pay in Elul (VI). If they do not, the silver shall increase 50 percent per mina.	(If) he does not pay, it shall increase by 5 seahs per homer.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	To (the god) Aššur, the father of the gods, his lord: Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, had baked bricks made from a (ritually) pure kiln (and) made the processional way of the courtyard of Eḫursaggalkurkurra (“House, the Great Mountain of the Lands”) shine like daylight.
As to the carpenters about whom the king my lord wrote to me: "30 ... !" 22 carpenters ... ; half of them have not yet come. Five architects of the governor of Calah have  come to me on the ... th of ... ; none of them is working ... 	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
As to what the king, my lord, wrote me: "Organize your army and be on the alert! If feasible, take the road to Hirite by ... " —	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
... the logs	... whom the king ... 
... seize?	... we arrived
... If he does not like what I said, (viz.) "Why does not a single ... ?", and keeps sending words of death ... , if it is agreeable to the king, let me move back to the house of my lord! And ... 	... are selected. If it is agreeable to the king, let him go to the king, my lord, and ... 
... while engaged in ... or shaving,	... whom the king ... 
it stands ... 	Witness ... 
Ṣil-Nabû, his wife, 3 adolescent sons, 1 suckling, total 6.	NN, his two sons and his daughter, a total of 4;
In my fourth regnal year, I marched to the land Tabal. I conquered the city Šinuḫtu, Kiakki’s fortified city. That (individual), together with his family, ... elephant hides, elephant ivory, ebony, boxwood, garments with multi-colored trim (and) linen garments, equipment, battle gear ... , their sheep and goats, herds of horses, (and) donkeys, I carried off as booty in countless numbers. I received tribute from the kings of the land of Tabal ... 	In my seventh regnal year I marched to the cities of Ḫabinu, the Tīl-abnīan. I captured (and) burned Tīl-abni, his fortified city, together with the cities in its environs. Moving on from Tīl-abni I marched to the source of the Tigris, the place where the water comes out, (and) made sacrifices. I put to the sword (the inhabitants of) cities insubmissive to Aššur (and) received tribute from the land Nairi.
Send to me those who are in your presence, so I will ... 	... into the presence ... 
Witness Aplaya son of Mušallim-Aššur, ditto.	Witness NN, ditto ditto.
... my years that I sat proudly on the throne of the father who had engendered me.	... through the act of Marduk I have descended into Elam.
Garruṣu has taken it as a loan from Bahianu.	88 horses in all from Lahiru;
have been placed in him.	has been sent from ... 
NN and his wife NN, in all 2 (persons); Urda-Nanaya, ... ;	NN, gardener, x persons ... ;
Witness Zizî, deputy cohort commander.	Witness NN, chariot driver.
In days to come, may a future ruler among the kings, my descendants, renovate (any) dilapidated sections of this palace. May he (then) discover my inscribed object, anoint (it) with oil, offer a sacrifice, (and) return (it) to its (original) place. The god Aššur will (then) listen to his prayers.	May any future ruler, whom (the god) Aššur names for shepherding the land and people (and) during whose reign that temple becomes dilapidated, (25) renovate its dilapidated section(s). May he find (this) inscribed object, anoint (it) with oil, make an offering, (and) put (it back) in its place. (The god) Aššur and the goddess Ištar will (then) hear his prayers.
lord of the foundation of heaven (and) netherworld, 	... the great gods of heaven and earth ... 
Witness Inurta-mušezib.	Witness ... 
x talents, the house of the tailor(s);	adjoining the house of Ṣil-Nabû,
You did battle within his city and wrought a blood bath at the city gate. You cut down his orchards. Two hundred and fifty-six cities in its vicinity you razed, destroyed, and burned.	his royal bed, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle and their sheep without number I took as spoil. Four hundred and seventy-six cities in their vicinity I razed, destroyed and burned."
he is handing over in installments the 5 teams of colts of the memorandum;	“House, its radiance covers the lands”: the temple of Zabban.
The work looks good; it is being done. The king, my lord, can be glad.	The king will be shut up in his palace; ... and good for the king my lord.
The great lord, the king of the gods, Ninurta, has sent me:	The blessings for the gods who dwell in Assyria. 
... my servants	... they removed again
... who destroyed the habitations of ... 	... whom the king ... 
... ; NN, farmer, and his people; NN, ... 	... ditto, ditto, the front red, of the port; 4 ... ;
At that time, a statue of ... 	they should intercalate ... 
These Kummeans are runaways; they have run away from Kumme.	These (omens) are from the series.
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	If the top of the 'station' is split and the gall bladder is flattened: the enemy's army will not achieve its enterprise.
Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.	To the king, my lord: your servant NN. Good health to the king, my lord!
Bir-yatate, son of NN, ... 	Witness Ubru-Issar, servant of ... 
Palace of Sennacherib, (... ) ... 	Just as I saw, ... in ... 
If ... comes close to the moon and stands there: ... will be sated ... the king of the land will widen (his) understanding ... 	If Orion comes close to the moon: the days of the reign of the king will become long ... 
the compassionate god to whom it is good to pray ... ;	mention of whom is pleasant ... 
my inside ... 	Witness ... 
They killed ... 	Witness ... 
4 mules:	6 mules in all —
... words of the Lord-of-Lords, Marduk, ... 	... whom the king ... 
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	In the corridors that are within the papāḫu-chambers, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose folded hands hold poppies, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
... Marduk-šarru-uṣur in reports	... Kar-Šarrukin ... 
— Mars came close to Scorpius.	was seated on the couch.
or any of the exempt, the troops who plotted sedition and rebellion, or their brothers, (or) their sons, or their nephews, or their friends and guests, or those who are in their confidence,	Whoever in the future, and at any time, whether these men or their  sons (or) their grandsons or any relative of theirs or their ... s or their  labour-duty superior, seeks a lawsuit or litigation against NN and his sons,
... are doing what is not good to the king.	... whom the king ... 
Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!	May Zarpanitu, who grants name and seed, destroy your name and your seed from the land.
... ayu — ... 	4 minas ... ;
The 'paths' are two ... 	1 ... -garment ... ,
Witness Tillayu, ... 	Witness ... 
Let him organize the country and give it to the king, and may we, the dead ones, be revived; may the strong breeze of the king waft over us, so we shall be revived.	Concerning the guard about whom the king, my lord, wrote to me, whom the servants of the king my lord have hired, he will depart tomorrow.
100 turtledoves, served hot;	2 mitres; 3 scarves, red, of the port;
We let the teams from Calah go by; my chariot, my team (and) my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.	We let the teams from Calah go by; my chariot, my team and my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Ayyāru (II), eighteenth day, eponymy of Nabû-bēlī-uṣur, governor of (the city) Dūr-Šarrukku (672 BC), when the treaty concerning Ashurbanipal, the senior son of the king, who (resides in) the House of Succession, was made.
Through their wide understanding they ... 	the king's mother ... 
Mars was sighted in the month of Ab (V); now it has approached within 2.5 spans (= 3°30') of Libra. As soon as it has come close to it, I shall write its interpretation to the king, my lord.	These troops which came to Malak — it is not yet clear whether they will proceed to Der or whether they will turn back. As soon as there is clear news as to where they are bound to, I shall write to the king, my lord.
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	To the king, my lord: your servant NN. Good health to the king, my lord!
I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.	... Sennacherib, king of Assyria (... ).
