I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
x talents, Sam'al;	x+2 talents, Ili-zabada, scribe of the mayor of Nineveh.
to Tīl-ša-Abatāni; from Tīl-ša-Abatāni to Tīl-ša-Zabdāni; the cities Ḫirimu (and) Ḫarutu, (which are) fortresses of Karduniaš (Babylonia); in the lands and highlands over which I gained dominion I always appointed my governors; I received their tribute (and) they entered (lit. “performed”) servitude.	conqueror from the passes of Mount Habruru to the land Gilzānu; I conquered from the source of the River Subnat to the land Šubrû (and) the interior of the land Nirbu; I subdued the entire land of Laqû (and) the land Sūḫu including the city Rapiqu; I brought within the boundaries of my land (the territory stretching) from the passes of Mount Babitu to Mount Ḫašmar, the entire land of Zamua, from the opposite bank of the Lower Zab to Tīl-Abāri which is upstream from the land Zaban, to Tīl-ša-Abtāni and Tīl-ša-Zabdāni; the cities Ḫirimu (and) Ḫarutu, (which are) fortresses of Karduniaš (Babylonia); in the lands and highlands over which I gained dominion ... 
not to harm ... 	has made an agreement with ... 
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
an estate of 1 hectare and 1 decare of land in Potter Town, ... of a house —	A vacant lot adjoining Nurtî, a garden, an estate of 1 hectare 6 decares of land in the town of Bit-Dagan, adjoining the garden of Arbailayu, (the estate of) Qurdi-Issar, the canal of Adian, and (the estate) of Bel-taklak —
I became clean with him ... 	I am Hadad-ḥappe (Adad-guppi), mother of Nabonidus — king of Babylon — the one who reveres the deities Sîn, Ningal, Nusku, and Sardanunna, gods of mine whose divinity I have been assiduous towards from my childhood (and) whose divinity I have constantly sought out (and) revered inside the sanctuaries of the deities Sîn, Ningal, Nusku, and Sardanunna (since) the sixteenth year of Nabopolassar — king of Babylon — (when) the god Sîn — king of the gods — became angry with his city and his temple (and) went up to heaven, (and, therefore,) the city and the people (living) inside it fell into ruins:
They shall pay in Elul (VI). If they do not, the silver shall increase 50 percent per mina.	at their disposal. They shall pay back the capital of the silver in Nisan (I). If they do not pay, the silver shall increase by a fourth.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	O god Nabû, the scribe of all (the universe), who makes opposing forces agree, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, (and) king of the land of Sumer and Akkad, the one who constructed your cella, (5) duly look at him with your steadfast heart and direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long (10) as heaven and  netherworld. May he continually exercise the shepherdship of all lands. May his foundation be as firm as (this) edifice (lit.: “place”) and (its) platform.
... seize?	A eunuch of mine heard these words; ... He seized their mounted messenger(s) along with their messages that (they had sent) to Taharqa, the king of Kush, to establish treaties and peace, and he saw their deceitful acts. They seized Šarru-lū-dāri (and) Necho and clamped (their) hands and feet in fetters (and) handcuffs. (iv 35') The oath (sworn) by the god Aššur, the king of the gods, defeated them and my kindness, which I had done for them as a favor, called to account those who had sinned against the great treaties.
it stands ... 	... and shall send ... 
Send to me those who are in your presence, so I will ... 	send me this traitor who is in your presence, the ... of idiocy, Nabû-bel-šumati ... ! All this misfortune of yours is due to him; he is the cause of everything, and he brings it to you ... 
... my years that I sat proudly on the throne of the father who had engendered me.	After I sat on the throne of the father who engendered me, the god Adad released his rains (and) the god Ea opened up his springs. The forests flourished greatly (and) reeds (and) reed-thickets grew (thickly) into one another (so that) there was no entrance(s) or walkway(s). The young of the lions thrived inside them and, without number, they banded together in (their) prides without number. By devouring oxen, sheep and goats, and people, they became restless and fierce; they grew in size. 
Garruṣu has taken it as a loan from Bahianu.	He has taken it as a loan. He shall pay in Marchesvan (VIII).
have been placed in him.	The city has been shut off, at the command of the governor of  Meṣi ... has been placed in the fort, there is 1,000 (homers of)  seed corn in there.
NN and his wife NN, in all 2 (persons); Urda-Nanaya, ... ;	Nurî, shepherd, his wife Hanzabâ and his 2 children, in all 4 (persons) Auirâ and his wife Asâ in all 2 (persons); NN, x persons; ... ;
Witness Zizî, deputy cohort commander.	Witness Aššur-ahu-iddina, cohort commander.
lord of the foundation of heaven (and) netherworld, 	... Esagil ... heaven and netherworld to ... I irrigated; I ... the great gods of heaven and netherworld, the people ... made bow down to his feet, overwhelmed his enemies, ... 
Witness Inurta-mušezib.	Witness Inurta-kibsi-uṣur, ... of the governor.
x talents, the house of the tailor(s);	x talents, the manager of the Review Palace;
The work looks good; it is being done. The king, my lord, can be glad.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The land and the forts of the king my lord are well. The king, my lord, can be glad.
The great lord, the king of the gods, Ninurta, has sent me:	By Aššur, Adad and Ber, the Assyrian Ištar: (anyone) among the kings, my sons, whom Aššur may call to rule over Assyria shall not cast aside the wording of this document of Aššur. Aššur, the  great lord, king of the gods, will hear his prayers.
... who destroyed the habitations of ... 	mighty flood-tide whose conflict cannot be rivalled, magnificent ... , who ... , king of kings, lord of lords, he who stirs up battle and conflict, who forces to bow down princes insubmissive to him, who rules all peoples, strong king, who destroys the fortifications of his enemies, who smashes
... ; NN, farmer, and his people; NN, ... 	Remanni-Adad, farmer, and his people; Ahu-le'i, farmer, and his  people; Hanṣî, farmer, and his people;
At that time, a statue of ... 	At that time, the palace in the citadel of Nineveh, which the kings, my ancestors, had had constructed and whose site was too small; alongside of which the Tebilti River had flowed and which had shaken its base when its flood was in full spate:
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	I returned the plundered gods of the lands from Assyria and the land Elam to their (proper) place(s), and I set up proper procedures in all of the cult centers.
Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.	Concerning what the king, my lord, wrote to me: "Send 50 Gurreans and 50 Itu'eans to Sabhanu" — I sent them, but the men of the chief cupbearer who are ... there refused to let them in. Let them write me what the king my lord's orders are.
Bir-yatate, son of NN, ... 	... Marduk-naṣir, son of ... 
Palace of Sennacherib, (... ) ... 	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
If ... comes close to the moon and stands there: ... will be sated ... the king of the land will widen (his) understanding ... 	If the moon and sun are in opposition: the king of the land will widen his understanding; the foundation of the king's throne will become stable. — On the 14th day one god will be seen with the other.
my inside ... 	and who ... ed the kingship ... 
They killed ... 	... whom the king ... 
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	In the corridors that are within the papāḫu-chambers, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose folded hands hold poppies, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
... Marduk-šarru-uṣur in reports	I dispatched my messenger to Ummanigaš (Ḫumban-nikaš II) regarding these matters. He detained the eunuch of mine whom I had sent (Marduk-šarru-uṣur) and did not give a reply to my word(s).
— Mars came close to Scorpius.	If Mars comes close to Jupiter: there will be a severe miqtu-disease in the land.
... are doing what is not good to the king.	The king, my lord, knows that ... are ... ; for fear of... they do not wait (but) do what is not good for them.
Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!	Bel, who scans the sky, is praying to Aššur, Anu, Sin, Šamaš and Adad: "Let me live!" The outfit in which he was clad is gathered in the storeroom.
... ayu — ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
The 'paths' are two ... 	The 'paths' are 2, the lower one ... toward ... 
Witness Tillayu, ... 	Witness Musallamu. Witness Puṭi-še.
100 turtledoves, served hot;	10 turtledoves. A tureen of bouillon
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Ayyāru (II), eighteenth day, eponymy of Nabû-bēlī-uṣur, governor of (the city) Dūr-Šarrukku (672 BC), when the treaty concerning Ashurbanipal, the senior son of the king, who (resides in) the House of Succession, was made.
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.	May the goddess Mullissu, the queen of Ešarra, the consort of (the god) Aššur, creator of the great gods, have a good word about Sennacherib, king of Assyria, set upon her lips daily before (the god) Aššur.
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, or jumbled the oracle query in my mouth... 
their seed-corn ... 	what their work ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	I am bound by the treaty of the king, my lord; I cannot conceal the words of ... 
If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.	at their disposal. They shall pay back the capital of the silver in Nisan (I). If they do not pay, the silver shall increase by a fourth.
concerning the work on ... 	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
