x talents, Sam'al;	x talents, the manager of the Review Palace;
not to harm ... 	As to what the king, my lord, said about Nabû-zeru-iddina: "When he ... before ... servants ... , he said to them ... 
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
I became clean with him ... 	The eunuchs of the king who are working here and the men who came with them ... 
They shall pay in Elul (VI). If they do not, the silver shall increase 50 percent per mina.	They shall pay in Iyyar (II). If they do not pay, it shall increase by one mina 5 shekels per month.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	O god Nabû, the scribe of all (the universe), who makes opposing forces agree, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, (and) king of the land of Sumer and Akkad, the one who constructed your cella, (5) duly look at him with your steadfast heart and direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long (10) as heaven and  netherworld. May he continually exercise the shepherdship of all lands. May his foundation be as firm as (this) edifice (lit.: “place”) and (its) platform.
... seize?	... sheep and donkeys
it stands ... 	... and shall send ... 
... my years that I sat proudly on the throne of the father who had engendered me.	After I sat on the throne of the father who engendered me, the god Adad released his rains (and) the god Ea opened up his springs. The forests flourished greatly (and) reeds (and) reed-thickets grew (thickly) into one another (so that) there was no entrance(s) or walkway(s). The young of the lions thrived inside them and, without number, they banded together in (their) prides without number. By devouring oxen, sheep and goats, and people, they became restless and fierce; they grew in size. 
Garruṣu has taken it as a loan from Bahianu.	Šep-Adad has taken it as a loan from Mannu-ki-Arbail.
have been placed in him.	The city has been shut off, at the command of the governor of  Meṣi ... has been placed in the fort, there is 1,000 (homers of)  seed corn in there.
Witness Zizî, deputy cohort commander.	Witness Nuranu, cohort commander.
lord of the foundation of heaven (and) netherworld, 	wife of the Enlil of the gods (Aššur) — the (most) exalted one, the king of heaven and netherworld, the one who decrees fates — the mother of the gods whose command(s) cannot be changed (and) whose pronouncements cannot be altered, the one who has gathered to herself (all of) the valuable divine offices of the god Anu, the one who grasps the responsibility of supreme power, the <lo>fty wild cow whose horns are pointed, the one who gores (... ) foes (to death), ... , the one who treads on the unyielding, the one who rides great storm-demons, who does not have an opponent among the gods (and) whose ... does not exist among goddesses ... , whose widespread net is laid for (trapping) enemies, from whose snare enemies do not escape, ... to the side of the capable, who rules over the totality of everything and makes all of the lands bow down to her yoke,
Witness Inurta-mušezib.	Witness Inurta-kibsi-uṣur, ... of the governor.
x talents, the house of the tailor(s);	20 talents, the house of the queen;
... ; NN, farmer, and his people; NN, ... 	NN, farmer, and his people; Nergal-dan and his people; NN  and his people;
At that time, a statue of ... 	At that time, the kings ... , fugitives of the land Elam, demonstrated to me the shooting of their bow(s), which after ... They broke (their) fingernails as if (they were throwing) throw sticks... they were shooting ... before me... they shot ... their furious arrows ... my furious arrow ... 
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	I returned the plundered gods of the lands from Assyria and the land Elam to their (proper) place(s), and I set up proper procedures in all of the cult centers.
Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.	Now then I am writing to the king, my lord; what is it that the king, my lord, commands regarding these ... ?
Bir-yatate, son of NN, ... 	Auirâ, son of NN, ... 
Palace of Sennacherib, (... ) ... 	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
my inside ... 	two jugs of wine ... 
They killed ... 	They killed La-adiru-ili and his sons ... 
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	In the corridors that are within the papāḫu-chambers, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose folded hands hold poppies, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
... Marduk-šarru-uṣur in reports	The bodyguard Marduk-šarru-uṣur is a trustworthy and reliable man. Let him come ... 
— Mars came close to Scorpius.	If the Plough star comes close to Scorpius: the ruler will die from a sting of a scorpion, variant: he will be seized in his palace; after him, his son will not take the throne; the mind of the land will change, the land will get another lord and the dwelling of the land will not become stable; lamentation of the great gods for the land. — Mars stands in Scorpius.
Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!	Zarpanitu, whose hands are stretched out, prays to Sin and Šamaš: "Let Bel live!"
... ayu — ... 	... my ... 
The 'paths' are two ... 	The 'paths' are 2, the lower one ... toward ... 
Witness Tillayu, ... 	Witness NN, ... 
100 turtledoves, served hot;	20 turtledoves, served hot;
We let the teams from Calah go by; my chariot, my team (and) my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.	We let the teams from Calah go by; my chariot, my team and my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.
