x talents, Sam'al;	x talents, Ṣimirra;
not to harm ... 	wrote to me ... 
I made foundation inscriptions, had the might of the god Aššur, my lord, (and) the deeds that I had done written on them, and placed (these inscriptions) in them (the foundations).	I made foundation inscriptions, had the might of the god Aššur, my lord, (and) the deeds that I had done written on them, and placed (these inscriptions) in them (the foundations). 
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	O god Nabû, the scribe of all (the universe), who makes opposing forces agree, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, (and) king of the land of Sumer and Akkad, the one who constructed your cella, (5) duly look at him with your steadfast heart and direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long (10) as heaven and  netherworld. May he continually exercise the shepherdship of all lands. May his foundation be as firm as (this) edifice (lit.: “place”) and (its) platform.
... the logs	... the king
... seize?	... seized me
it stands ... 	I and ... 
Garruṣu has taken it as a loan from Bahianu.	Šamaš-ahu-uṣur has taken it as a loan from Bahianu.
Witness Zizî, deputy cohort commander.	Witness Nuranu, cohort commander.
Witness Inurta-mušezib.	Witness Nabû-šezib.
x talents, the house of the tailor(s);	20 talents, the house of the queen;
... my servants	... my seals
... ; NN, farmer, and his people; NN, ... 	... ; NN, farmer, and his people
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	I returned the plundered gods of the lands from Assyria and the land Elam to their (proper) place(s), and I set up proper procedures in all of the cult centers.
Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.	Now I am sending it to the king, my lord. What are the king my lord's instructions?
Bir-yatate, son of NN, ... 	Auirâ, son of NN, ... 
Palace of Sennacherib, (... ) ... 	Naqīʾa, wife of Sennacherib (... ).
my inside ... 	inside it ... 
They killed ... 	he killed ... 
4 mules:	9 mules:
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	In the corridors that are within the papāḫu-chambers, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose folded hands hold poppies, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
... Marduk-šarru-uṣur in reports	... Marduk-šarru-uṣur.
— Mars came close to Scorpius.	— Mars comes close to Jupiter.
Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!	Zarpanitu, whose hands are stretched out, prays to Sin and Šamaš: "Let Bel live!"
... ayu — ... 	... my ... 
The 'paths' are two ... 	The 'path' ... 
Witness Tillayu, ... 	Witness NN, ... 
100 turtledoves, served hot;	20 turtledoves, served hot;
We let the teams from Calah go by; my chariot, my team (and) my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.	We let the teams from Calah go by; my chariot, my team and my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Month ... , ... th day, eponymy of Nabû-bēlī-uṣur, governor of Dūr-Šarrukku (672 BC).
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	Your servant Nabû-... : I would gladly die for the king, my (lit. "his") lord! Say to the king, my lord:
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, or jumbled the oracle query in my mouth... 
their seed-corn ... 	seed corn ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	I am bound by the treaty of the king, my lord; I cannot conceal the words of ... 
If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.	If he does not pay, the silver shall increase 50 percent per shekel.
concerning the work on ... 	Concerning the soldiers ... 
To the king, my lord: your servant Nabû-šumu-iškun. 	To the king, my lord: your servant Aššur-bani.
If Leo is black: the land will not be happy.	If Leo is black: the land will become unhappy.
from Babylon to ... 	to Babylon ... 
2 towels ... 	towel ... 
Til-Barsip             	Tillê             
Šarru-emuranni, 'third man' of the crown prince;	... manu, 'third man' of the crown prince;
I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all the cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites  (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 	I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 
to the Borsippeans ... 	to the teams ... 
May Šamaš and Marduk bless the crown prince, my lord!	May Nabû and Marduk bless the king, my lord!
Total, ... minas of silver.	... 20 minas of silver
... if in the river ... 	... in this year ... 
2 cavalry mounts, 	17 cavalry mounts,
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	Concerning what the king, my lord, wrote to me: "... "
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... will achieve life ... 	... will leave ... 
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	Whoever in the future, at any time, lodges a complaint and breaks the contract,
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness Ṣadduru. Witness Šamaš-šezib.
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my  second campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him... By sea and dry land, I took control of (all of) his routes. (i 60) I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness ... 
The left side of the gall bladder is attached ... 	... is present. The left of the gall bladder is attached.
son of Tiglath-pileser (II), king of the universe, king of Assyria, son of Aššur-rēša-iši (II) (who was) also king of the universe (and) king of Assyria:	The palace of Aššur-dān, great king, strong king, king of the universe, king of Assyria, son of Tiglath-pileser (II) (who was) also king of the universe (and) king of Assyria.
the gods of the king, my lord, ... 	Let the king, my lord ... 
— On the 1st day the moon became visible.	... on the 29th the moon became visible.
Witness Uarbis, ditto.	Witness Arbailayu, ditto.
Šulmu-... , ... ;	... a, ... ;
16 ... 	4 ... 
8 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Nargî, son of Šamaš-na'id, from Issete.	16 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Abdi-Samsi.
with the messenger of NN	to the messenger ... 
until your enemies ... 	until you ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
