not to harm ... 	... to conquer a land not obedient to me ... 
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	O god Nabû, the scribe of all (the universe), who makes opposing forces agree, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, (and) king of the land of Sumer and Akkad, the one who constructed your cella, (5) duly look at him with your steadfast heart and direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long (10) as heaven and  netherworld. May he continually exercise the shepherdship of all lands. May his foundation be as firm as (this) edifice (lit.: “place”) and (its) platform.
... seize?	... seeks a lawsuit or litigation against Šamaš-na'id,
it stands ... 	May the king send word that they should stand ... 
... my years that I sat proudly on the throne of the father who had engendered me.	By their (the great gods’) exalted command, I sat gladly on the throne of the father who had engendered me. Nobles (and) eunuchs required my lordship; they loved my exercising the kingship. Being happy at the mention of my venerated name, the four quarters (of the world) rejoiced.
Garruṣu has taken it as a loan from Bahianu.	Šamaš-ahu-uṣur has taken it as a loan from Bahianu.
have been placed in him.	(Ditto, ditto;) just as this ewe has been cut open and the flesh of her young has been placed in her mouth, may they make you eat in your hunger the flesh of your brothers, your sons and your daughters.
Witness Zizî, deputy cohort commander.	Witness NN, cohort commander.
Witness Inurta-mušezib.	Witness Inurta-kibsi-uṣur, ... of the governor.
x talents, the house of the tailor(s);	x talents, the house of the treasurer;
... ; NN, farmer, and his people; NN, ... 	NN, farmer, and his people; Nergal-dan and his people; NN  and his people;
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	I returned the plundered gods of the lands from Assyria and the land Elam to their (proper) place(s), and I set up proper procedures in all of the cult centers.
Bir-yatate, son of NN, ... 	Nušku-ayali, son of NN, ... 
Palace of Sennacherib, (... ) ... 	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
my inside ... 	We did indeed find a writing-board inside (the house), just as the king my lord had written; I sealed it and put it inside (... ).
They killed ... 	They killed La-adiru-ili and his sons ... 
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	In the corridors that are within the papāḫu-chambers, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose folded hands hold poppies, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
— Mars came close to Scorpius.	If the Plough star comes close to Scorpius: the ruler will die from a sting of a scorpion, variant: he will be seized in his palace; after him, his son will not take the throne; the mind of the land will change, the land will get another lord and the dwelling of the land will not become stable; lamentation of the great gods for the land. — Mars stands in Scorpius.
... ayu — ... 	... my ... 
The 'paths' are two ... 	The 'paths' are 2, the lower one ... toward ... 
Witness Tillayu, ... 	Witness Tabalayu, ... 
100 turtledoves, served hot;	20 turtledoves, served hot;
We let the teams from Calah go by; my chariot, my team (and) my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.	We let the teams from Calah go by; my chariot, my team and my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Ayyāru (II), eighteenth day, eponymy of Nabû-bēlī-uṣur, governor of (the city) Dūr-Šarrukku (672 BC), when the treaty concerning Ashurbanipal, the senior son of the king, who (resides in) the House of Succession, was made.
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	Your servant Nabû-bel-šumate: I would gladly die for the king, my lord! Say to the king, my lord: I have sent my messenger to greet the king, the horses and the soldiers.
I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.	I, Sennacherib, king of Assyria, built (this) house and gave (it) to my second son Aššur-<ilī>-muballissu... 
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, or jumbled the oracle query in my mouth... 
their seed-corn ... 	Whoever in the future, at any time, whether these gentlemen or their sons ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	I am bound by the treaty of the king, my lord; I cannot conceal the words of ... 
concerning the work on ... 	Concerning the work of ... about which the king, my lord, wrote  to me, saying: "Let them process the gold according to this ... " —  we have now weighed out the gold and silver which are the property of  Sin and carry the seal of Nabû-zeru-ibni. We have melted down 23 minas  of gold in the agate-standard, including the votive gifts. Now they  will hammer (it) as thin as the king commands.
Dannaya (and) Aššur-da''in-šarru, reporters... 	Tablet of Dannaya, eunuch; Aššur-da''in-šarru, reporter. Month Adar (XII), ... day, eponym year of Sagab (651).
If Leo is black: the land will not be happy.	If Leo is black: the land will become unhappy.
from Babylon to ... 	... and to Babylon ... 
Til-Barsip             	Marduk-bani-zeri             
Šarru-emuranni, 'third man' of the crown prince;	... manu, 'third man' of the crown prince;
I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all the cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites  (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 	I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 
to the Borsippeans ... 	We did not ... the Borsippeans ... 
May Šamaš and Marduk bless the crown prince, my lord!	To the king, my lord: your servant Nabû-ahhe-eriba. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord!
Total, ... minas of silver.	Total, 205 minas of silver,
... if in the river ... 	... the ... s in the river.
2 cavalry mounts, 	The ... cavalry mounts did not arrive, and the ... about  which I wrote to the king, my lord, are in Adia. If the king, my  lord, commands, they should cross over to Nineveh. Let king, my lord,  send a letter in reply to (this) letter. 
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	Concerning the guard about whom the king, my lord, wrote to me, whom the servants of the king my lord have hired, he will depart tomorrow.
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	Whoever in the future, at any time, lodges a complaint, whether these men or their sons or their grandsons or any relative of theirs or ... 
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness NN. Witness Šamaš-eriba.
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (ii 45) I made water (and) food for the preservation of their lives scarce for their mouths... I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness ... šu, ... horse trainer.
The left side of the gall bladder is attached ... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
— On the 1st day the moon became visible.	... on the 29th the moon became visible.
Witness Uarbis, ditto.	Witness Arbailayu, ditto.
Šulmu-... , ... ;	Witness Ubru-... , ... 
with the messenger of NN	the messenger of its owner's household has gone and forfeited the field of his lord's household.
