x talents, the house of the tailor(s);	2 talents, the house of the tailor(s).
They killed ... 	they killed ... 
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night, or jumbled the oracle query in my mouth... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	I am bound by the treaty of the king, my lord; I cannot conceal the words of ... 
to the Borsippeans ... 	We did not ... the Borsippeans ... 
2 cavalry mounts, 	42 cavalry mounts,
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	He shall place x minas of silver and two minas of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my  second campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him... By sea and dry land, I took control of (all of) his routes. (i 60) I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
The left side of the gall bladder is attached ... 	The 'station' and the 'path' are present. The 'weapon'-mark of the 'well-being' rises toward the left. The left side of the gall bladder is attached... 
Witness Uarbis, ditto.	Witness Uarbisi, ditto.
Šulmu-... , ... ;	Witness Šulmu-... , ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
Month Sivan (III) ... 	for the month Sivan (III) ... 
Nabû-šumu-iddina;	Nabû-šumu-iddina, horse trainer of the open chariotry;
... I establish 	... I established there 
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû, eunuch.
Witness Mannu-ki-Adad, ... 	witness Mannu-ki-Adad, ... ,
... The vertebrae are recessed ... 	... the coils of the colon are 14 in number. The vertebrae are recessed... 
Nabû-bel-šumate;	Nabû-bel-šumate, the servant of the king, my lord, is well. The Lady Barsipitu, the land, the troops and the servants of the king, my lord, are well. The land Guzummani is well. The talk of the land is good. The guard of the king is very strong day and night.
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord.
