...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒋙𒉡𒀀𒁺...𒀀𒁺𒄞𒀴𒈨𒌍𒋙𒉡...𒊭𒌉𒋙𒌋𒉌𒊭...𒉌𒀸𒉺𒀭𒁹...𒂗𒉆𒌷𒌓𒋢𒀀𒋙𒉡	šu₂-nu a-du ... a-du GUD.NITA₂-MEŠ-šu₂-nu ... ša DUMU-šu₂-u-ni ša ... ni ina pa-an {1}-... {LU₂~v}-EN.NAM {URU}-par-su-a šu₂-nu 	they along with ... and along with their oxen ... , which ... , at the disposal of NN, governor of Parsua.
𒇽𒈜𒄑𒑏𒊭𒊺𒉻𒈨𒌍𒀸𒌋𒅗...𒄿𒈾𒄵𒋾𒇽𒃲𒈨𒌍𒄿𒃻𒃶𒍪𒈥𒋗𒌑𒂵𒈠𒅈𒌦𒈨𒌍𒌑𒉺𒋢𒆪𒈗𒀀𒈾𒈠𒀀𒀀𒇷𒂊𒊏𒀊	{LU₂}-NAR {GIŠ}-BAN₂ ša {ŠE}-PAD-MEŠ ina UGU ... i-na bir-ti {LU₂}-GAL-MEŠ i-ša₂-kan zu-mar-šu u₂-ga-ma-ar UN-MEŠ u₂-pa-su-ku LUGAL a-na ma-a.a-li e-ra-ab 	The singer places a seah measure of corn on the ... between the magnates, and finishes his singing. The people are removed. The king enters the bedroom. 
𒇷𒁍𒍑𒆠𒄿𒀭𒉌𒋾𒈗𒄿𒁳𒋙𒈗𒌨𒁉𒌝𒈠𒆳𒊏𒁉𒋾𒌓𒌁𒊏𒅇𒁉𒅕𒋾𒆗𒈾𒋾𒀸𒋡𒀭𒆳𒆳𒀝𒋫𒇡𒆠𒄿𒈾𒋻𒌅𒀀𒈾𒈗𒁁𒉌𒅀𒀠𒋰𒊏𒈗𒆷𒄿𒅗𒋙𒂗𒈾𒈠𒄭𒉺𒉌𒅇𒀴𒈨𒌍𒅗𒅇𒆳𒌵𒆠𒆷𒋡𒋾𒅗𒄿𒋼𒇻𒌑𒀀𒈾𒅆𒌓𒋾𒈾𒋻𒌅𒁍𒋗𒄿𒆜𒅆𒀀𒁺𒌑𒁹𒅎𒊏	le-pu-uš ki-i an-ni-ti LUGAL i-tep-šu₂ LUGAL liq-bi um-ma KUR ra-bi-ti ut-tir-ra u₃ bi-ir-ti dan-na-ti ina qa-an KUR.KUR ak-ta-ṣar ki-i na-kut-tu a-na LUGAL be-li₂-ia al-tap-ra LUGAL la i-ka-šu₂ en-na-ma he-pa-ni u₃ ARAD-MEŠ-ka u₃ KUR—URI {KI} la—qa-ti-ka i-te-lu-u₂ a-na ši-pir-ti na-kut-tu pu-qat i-raš-ši a-du-u₂ {1}-im-ra 	Should the king do thus, the king could also say: "I have made the land great again and have built a powerful fortress on the border of the lands." I have written to the king because I am desperate! The king should not hesitate, for we are now at our limits, and your servants and the land of Akkad threaten to slide out of your hand. The message is due to distressful danger. Now ... Imra... 
𒆠𒄿𒉿𒄿𒊮𒁉𒋙𒈗𒁁𒉌𒇷𒁍𒍑𒇽𒀀𒆥𒐊𒇽𒀀𒆥𒐊𒃻𒄴𒄭𒊒𒈠𒀀𒈾𒉺𒀭𒈗𒁁𒉌𒐊𒆷𒅋𒇷𒅗𒉈𒅎𒅀𒌓𒌁𒀀𒈾𒈗𒁁𒉌𒐊𒌌𒀀𒉺𒅁𒉺𒊏𒅇𒉺𒀭𒌁𒋾𒀀𒁕𒃲𒀀𒁲𒊺𒁇𒀸𒌷𒆍𒂍𒆠𒀉𒁺𒌑𒌒𒆠𒋙𒀀𒈾𒈗𒁁𒉌𒐊𒀠𒋰𒊏	ki-i pi-i ŠA₃-bi-šu₂ LUGAL be-li₂ li-pu-uš {LU₂}-A—KIN-ia₂ {LU₂}-A—KIN-ia₂ ša₂ uh-hi-ru-ma a-na pa-an LUGAL be-li₂-ia₂ la il-li-ka ṭe₃-em-ia ut-tir a-na LUGAL be-li₂-ia₂ ul a-šap-pa-ra u₃ pa-an ter-ti a-da-gal a-di {ŠE}-BAR ina {URU}-KA₂—bit-qi₂ id-du-u₂ ar₂-ki-šu₂ a-na LUGAL be-li₂-ia₂ al-tap-ra 	My messenger, who was delayed and did not come to the audience of the king, brought my report back. I decided not to write to the king, my lord, but waited for instructions until the barley was deposited in Bab-bitqa. Thereafter I wrote to the king, my lord.
𒀀𒁲𒇯𒃻𒁹𒀀𒁀𒋫𒀀𒉌𒋫𒇯𒃻𒁹𒀀𒁀𒋫𒀀𒉌𒀀𒁲𒇯𒃻𒁹𒍝𒀊𒁕𒀀𒉌𒌷𒄭𒊑𒈬𒌷𒄩𒊒𒌓𒁉𒊏𒀀𒋼𒈨𒌍𒃻𒆳𒋼𒀀𒁺𒉌𒀾𒁹𒈪𒈲𒆳𒅀𒌑𒋾𒊏𒀸𒆳𒆳𒈨𒌍𒅇𒄯𒃻𒉌𒃻𒀀𒉿𒇻𒋗𒉡𒉌𒇽𒃻𒈨𒌍𒀀𒀠𒉌𒌓𒅗𒀭𒈠𒁕𒋫𒋙𒉡𒄠𒄯𒇽𒀴𒌓𒌒𒁍𒋙	a-di DU₆-ša₂-{m}-a-ba-ta-a-ni TA DU₆-ša₂-{m}-a-ba-ta-a-ni a-di DU₆-ša₂-{m}-za-ab-da-a-ni {URU}-hi-ri-mu {URU}-ha-ru-tu₂ bi-ra-a-te.MEŠ ša₂ {KUR}-kar-du-ni-aš₂ ana mi-ṣir KUR-ia u₂-ti-ra ina KUR.KUR.MEŠ u₃ hur-ša₂-ni ša₂ a-pe-lu-šu-nu-ni {LU₂}-GAR.MEŠ-a al-tak₃-ka-an ma-da-ta-šu₂-nu am-hur {LU₂}-ARAD-tu₂ up-pu-šu₂ 	to Tīl-ša-Abatāni; from Tīl-ša-Abatāni to Tīl-ša-Zabdāni; the cities Ḫirimu (and) Ḫarutu, (which are) fortresses of Karduniaš (Babylonia); in the lands and highlands over which I gained dominion I always appointed my governors; I received their tribute (and) they entered (lit. “performed”) servitude.
𒀉𒋾𒋙𒊍𒍝𒅗...	it-ti-šu₂ az-za-ka ... 	I became clean with him ... 
𒀸𒌋𒅗𒉄𒈨𒌍𒊭𒈗𒁁𒉌𒅖𒁓𒀭𒉌𒈠𒀀𒌍...𒌋𒌋𒈫𒉄𒈨𒌍𒉺𒉌...𒈨𒌍𒇻𒋙𒉡𒆷𒀀𒄿𒆷𒆪𒌋𒉌𒐊𒊺𒆗𒉺𒀀𒀀𒊭𒂗𒉆𒊭𒌷𒆗𒄩𒀸𒌗...𒌓...𒄰𒄿𒊑𒆪𒉌𒈨𒈨𒉌𒀸𒊮𒋙𒉡𒌋𒌆𒇻𒆷𒀀𒂊𒁍𒋙...	ina UGU {LU₂~v}-NAGAR-MEŠ ša LUGAL be-li₂ iš-pur-an-ni ma-a 30 ... 22 {LU₂~v}-NAGAR-MEŠ pa-ni-... meš-lu-šu₂-nu la-a i-la-ku-u-ni 05 {LU₂~v}-še-lap-pa-a.a ša {LU₂~v}-EN.NAM ša {URU}-kal-ha ina {ITI}-... UD ... KAM i-tal-ku-ni me-me-ni ina ŠA₃-šu₂-nu dul-lu la-a e-pu-šu₂ ... 	As to the carpenters about whom the king my lord wrote to me: "30 ... !" 22 carpenters ... ; half of them have not yet come. Five architects of the governor of Calah have  come to me on the ... th of ... ; none of them is working ... 
𒊭𒈗𒂗𒅖𒁓𒀭𒉌𒈠𒀀𒂊𒈬𒆥𒅗𒆪𒍮𒊒𒇻𒀉𒅗𒅗𒈠𒀀𒋧𒈬𒋫𒊑𒄑𒆜𒊭𒀀𒈾𒌷𒄭𒊑𒋼𒊭𒌑...	ša LUGAL EN iš-pur-an-ni ma-a e-mu-qi-ka ku-ṣu-ru lu et-ka-ka ma-a šum₂-mu ta-ri-iṣ KASKAL ša a-na {URU}-hi-ri-te ša u₂-... 	As to what the king, my lord, wrote me: "Organize your army and be on the alert! If feasible, take the road to Hirite by ... " —
𒇻𒌋𒄭𒂵𒆪𒉡𒅆𒈪𒉆𒈠𒀀𒈾𒆪𒄿𒈾𒊏𒀀𒈪𒃻𒆳𒉏𒈠𒆠𒀀𒊏𒄠𒂗𒁵𒅀𒂗𒁵𒅀𒌋𒂗𒉌𒋾𒅀𒂗𒉌𒋾𒅀𒌌𒌑𒁀𒃼𒀀𒈾𒃮𒁉𒁵𒂊𒁍𒍑𒌋𒋗𒉡𒇷𒄷𒄭𒋾	lu-u DUG₃.GA-ku-nu-ši mi-nam-ma a-na-ku i-na ra-a-mi ša₂ {KUR}-NIM.MA {KI} a-ra-am EN—MUN-ia EN—MUN-ia u EN—ṣal-ti-ia EN—ṣal-ti-ia ul u₂-ba-qar a-na gab-bi MUN e-pu-uš u šu-nu le-mut-ti 	How can I love by loving Elam? I do not contest my friend or my enemy. I do good to everybody, but they have done evil to me.
𒉺𒉌𒋙𒌌𒈤𒊑𒃻𒀀...𒌝𒈠𒈪𒉆𒈠𒆷𒁹𒂗...𒁳𒁉𒃻𒈪𒌅𒌅𒅆...𒅋𒋫𒀮𒌓𒆠𒄿𒉺𒀭𒈗𒈤𒊒𒀀𒈾𒂍𒁁𒉌𒉌𒂍𒁁𒉌𒉌𒇻𒄴𒄭𒋢𒅇...	pa-ni-šu₂ ul mah-ri ša₂ a-... um-ma mi-nam-ma la 01-en ... dib-bi ša₂ mi-tu-tu ši ... il-ta-nap-par ki-i pa-an LUGAL mah-ru a-na E₂—be-li₂-ni E₂—be-li₂-ni lu-uh-hi-su u₃ ... 	... If he does not like what I said, (viz.) "Why does not a single ... ?", and keeps sending words of death ... , if it is agreeable to the king, let me move back to the house of my lord! And ... 
